a
   RHCl/A    RHpO/A   RHO/A      MRCI+Q/rotated     DW-CAS
   1.50000   0.90000  50.00000   -535.95741140   -535.54120668
   1.60000   0.90000  50.00000   -535.94205819   -535.52598335
   1.70000   0.90000  50.00000   -535.92472734   -535.50922542
   1.80000   0.90000  50.00000   -535.90831861   -535.49401366
   0.85000   0.95000  50.00000   -535.71198673   -535.28952393
   0.90000   0.95000  50.00000   -535.79561295   -535.37340304
   0.95000   0.95000  50.00000   -535.85730242   -535.43553748
   1.00000   0.95000  50.00000   -535.90248679   -535.49494647
   1.05000   0.95000  50.00000   -535.93391152   -535.51314392
   1.10000   0.95000  50.00000   -535.95633682   -535.54845005
   1.15000   0.95000  50.00000   -535.96991147   -535.55010959
   1.20000   0.95000  50.00000   -535.97818168   -535.55886336
   1.25000   0.95000  50.00000   -535.98188320   -535.56309958
   1.27413   0.95000  50.00000   -535.98235083   -535.56385254
   1.30000   0.95000  50.00000   -535.98206271   -535.56388239
   1.35000   0.95000  50.00000   -535.97973376   -535.56202668
   1.40000   0.95000  50.00000   -535.97518828   -535.55820811
   1.45000   0.95000  50.00000   -535.96936389   -535.55286588
   1.50000   0.95000  50.00000   -535.96257747   -535.54638919
   1.60000   0.95000  50.00000   -535.94704425   -535.53145934
   1.70000   0.95000  50.00000   -535.93000172   -535.51440787
   1.80000   0.95000  50.00000   -535.91359319   -535.49919523
   0.85000   0.97131  50.00000   -535.71254840   -535.30496042
   0.90000   0.97131  50.00000   -535.79625009   -535.38907237
   0.95000   0.97131  50.00000   -535.85780542   -535.43608292
   1.00000   0.97131  50.00000   -535.90260268   -535.48137934
   1.05000   0.97131  50.00000   -535.93441505   -535.51368936
   1.10000   0.97131  50.00000   -535.95624519   -535.53600973
   1.15000   0.97131  50.00000   -535.97041367   -535.55065505
   1.20000   0.97131  50.00000   -535.97868523   -535.55940881
   1.25000   0.97131  50.00000   -535.98238694   -535.56364503
   1.27413   0.97131  50.00000   -535.98285559   -535.56439797
   1.30000   0.97131  50.00000   -535.98256664   -535.56442783
   1.35000   0.97131  50.00000   -535.98010027   -535.56258508
   1.40000   0.97131  50.00000   -535.97569240   -535.55875371
   1.45000   0.97131  50.00000   -535.96986810   -535.55341182
   1.50000   0.97131  50.00000   -535.96308920   -535.54693562
   1.60000   0.97131  50.00000   -535.94755658   -535.53200589
   1.70000   0.97131  50.00000   -535.93055261   -535.51495441
   1.80000   0.97131  50.00000   -535.91414426   -535.49974140
   0.85000   1.05000  50.00000   -535.70811432   -535.28603303
   0.90000   1.05000  50.00000   -535.79174159   -535.36991221
   0.95000   1.05000  50.00000   -535.85343064   -535.43204676
   1.00000   1.05000  50.00000   -535.89822735   -535.47734262
   1.05000   1.05000  50.00000   -535.93003966   -535.50965275
   1.10000   1.05000  50.00000   -535.95187033   -535.53197216
   1.15000   1.05000  50.00000   -535.96604347   -535.54661813
   1.20000   1.05000  50.00000   -535.97431450   -535.55537189
   1.25000   1.05000  50.00000   -535.97801704   -535.55960810
   1.27413   1.05000  50.00000   -535.97851627   -535.56035683
   1.30000   1.05000  50.00000   -535.97819755   -535.56039093
   1.35000   1.05000  50.00000   -535.97573172   -535.55854829
   1.40000   1.05000  50.00000   -535.97132344   -535.55471747
   1.45000   1.05000  50.00000   -535.96549992   -535.54937700
   1.50000   1.05000  50.00000   -535.95866036   -535.54290287
   1.60000   1.05000  50.00000   -535.94096326   -535.51556402
   1.70000   1.05000  50.00000   -535.92633179   -535.51092245
   1.80000   1.05000  50.00000   -535.90992441   -535.49570819
   0.85000   1.10000  50.00000   -535.70176363   -535.28006231
   0.90000   1.10000  50.00000   -535.78539095   -535.36394150
   0.95000   1.10000  50.00000   -535.84708093   -535.42607610
   1.00000   1.10000  50.00000   -535.89187702   -535.47137214
   1.05000   1.10000  50.00000   -535.92368909   -535.50368209
   1.10000   1.10000  50.00000   -535.94552260   -535.52600238
   1.15000   1.10000  50.00000   -535.95970268   -535.54064769
   1.20000   1.10000  50.00000   -535.96798734   -535.54940195
   1.25000   1.10000  50.00000   -535.97167049   -535.55363660
   1.27413   1.10000  50.00000   -535.97213744   -535.55438958
   1.30000   1.10000  50.00000   -535.97191345   -535.55441366
   1.35000   1.10000  50.00000   -535.96938486   -535.55257693
   1.40000   1.10000  50.00000   -535.96497689   -535.54874653
   1.45000   1.10000  50.00000   -535.95915351   -535.54340714
   1.50000   1.10000  50.00000   -535.95231426   -535.53693460
   1.60000   1.10000  50.00000   -535.93690057   -535.52200700
   1.70000   1.10000  50.00000   -535.92044735   -535.50584402
   1.80000   1.10000  50.00000   -535.90365374   -535.48973957
   0.85000   1.15000  50.00000   -535.69368536   -535.27250240
   0.90000   1.15000  50.00000   -535.77731304   -535.35638153
   0.95000   1.15000  50.00000   -535.83900382   -535.41851615
   1.00000   1.15000  50.00000   -535.88380018   -535.46381228
   1.05000   1.15000  50.00000   -535.91561246   -535.49612214
   1.10000   1.15000  50.00000   -535.93744619   -535.51844250
   1.15000   1.15000  50.00000   -535.95162647   -535.53308790
   1.20000   1.15000  50.00000   -535.95993136   -535.54184212
   1.25000   1.15000  50.00000   -535.96371221   -535.54607982
   1.27413   1.15000  50.00000   -535.96415480   -535.54683493
   1.30000   1.15000  50.00000   -535.96390159   -535.54686773
   1.35000   1.15000  50.00000   -535.96144690   -535.54500546
   1.40000   1.15000  50.00000   -535.95690408   -535.54118733
   1.45000   1.15000  50.00000   -535.95108050   -535.53584914
   1.50000   1.15000  50.00000   -535.94424167   -535.52937848
   1.60000   1.15000  50.00000   -535.92885014   -535.51445284
   1.70000   1.15000  50.00000   -535.91230477   -535.49876638
   1.80000   1.15000  50.00000   -535.89564234   -535.48218260
   0.85000   1.20000  50.00000   -535.68450475   -535.26397726
   0.90000   1.20000  50.00000   -535.76813292   -535.34785639
   0.95000   1.20000  50.00000   -535.82982473   -535.40999099
   1.00000   1.20000  50.00000   -535.87462135   -535.45528711
   1.05000   1.20000  50.00000   -535.90643385   -535.48759698
   1.10000   1.20000  50.00000   -535.92826775   -535.50991733
   1.15000   1.20000  50.00000   -535.94185954   -535.50726169
   1.20000   1.20000  50.00000   -535.95007151   -535.51545956
   1.25000   1.20000  50.00000   -535.95453426   -535.53755467
   1.27413   1.20000  50.00000   -535.95505969   -535.53830948
   1.30000   1.20000  50.00000   -535.95483884   -535.53834276
   1.35000   1.20000  50.00000   -535.95232472   -535.53651998
   1.40000   1.20000  50.00000   -535.94792085   -535.53264548
   1.45000   1.20000  50.00000   -535.94190828   -535.52733367
   1.50000   1.20000  50.00000   -535.93506982   -535.52086518
   1.60000   1.20000  50.00000   -535.91969750   -535.50594204
   1.70000   1.20000  50.00000   -535.90315324   -535.49025491
   1.80000   1.20000  50.00000   -535.88651736   -535.47366751
   0.85000   1.25000  50.00000   -535.67468734   -535.25492974
   0.90000   1.25000  50.00000   -535.75831613   -535.33880887
   0.95000   1.25000  50.00000   -535.81878755   -535.38190060
   1.00000   1.25000  50.00000   -535.86480621   -535.44623959
   1.05000   1.25000  50.00000   -535.89661892   -535.47854945
   1.10000   1.25000  50.00000   -535.91845296   -535.50086981
   1.15000   1.25000  50.00000   -535.93263344   -535.51551508
   1.20000   1.25000  50.00000   -535.94093855   -535.52426923
   1.25000   1.25000  50.00000   -535.94471980   -535.52850714
   1.27413   1.25000  50.00000   -535.94524532   -535.52926195
   1.30000   1.25000  50.00000   -535.94502458   -535.52929512
   1.35000   1.25000  50.00000   -535.94268335   -535.52746957
   1.40000   1.25000  50.00000   -535.93814785   -535.52370998
   1.45000   1.25000  50.00000   -535.93232385   -535.51827895
   1.50000   1.25000  50.00000   -535.92526913   -535.51186487
   1.60000   1.25000  50.00000   -535.90990903   -535.49694498
   1.70000   1.25000  50.00000   -535.89336578   -535.48125746
   1.80000   1.25000  50.00000   -535.87675110   -535.46466420
   0.85000   1.30000  50.00000   -535.66457682   -535.24563556
   0.90000   1.30000  50.00000   -535.74820642   -535.32951469
   0.95000   1.30000  50.00000   -535.80990155   -535.39164927
   1.00000   1.30000  50.00000   -535.85469870   -535.43694540
   1.05000   1.30000  50.00000   -535.88651159   -535.46925526
   1.10000   1.30000  50.00000   -535.90715746   -535.46763930
   1.15000   1.30000  50.00000   -535.92132688   -535.48176595
   1.20000   1.30000  50.00000   -535.93083132   -535.51497524
   1.25000   1.30000  50.00000   -535.93319074   -535.49363523
   1.27413   1.30000  50.00000   -535.93513824   -535.51996782
   1.30000   1.30000  50.00000   -535.93491762   -535.52000099
   1.35000   1.30000  50.00000   -535.93058428   -535.49152567
   1.40000   1.30000  50.00000   -535.92825196   -535.51439474
   1.45000   1.30000  50.00000   -535.92224566   -535.50926690
   1.50000   1.30000  50.00000   -535.91541535   -535.50299472
   1.60000   1.30000  50.00000   -535.89983793   -535.48781120
   1.70000   1.30000  50.00000   -535.88309850   -535.47073825
   1.80000   1.30000  50.00000   -535.86669565   -535.45552191
   0.85000   1.35000  50.00000   -535.65442972   -535.23626168
   0.90000   1.35000  50.00000   -535.73809321   -535.32010945
   0.95000   1.35000  50.00000   -535.79975797   -535.38227539
   1.00000   1.35000  50.00000   -535.84455538   -535.42757151
   1.05000   1.35000  50.00000   -535.87636843   -535.45988138
   1.10000   1.35000  50.00000   -535.89820255   -535.48220174
   1.15000   1.35000  50.00000   -535.91238293   -535.49684713
   1.20000   1.35000  50.00000   -535.91906366   -535.47683171
   1.25000   1.35000  50.00000   -535.92446928   -535.50983907
   1.27413   1.35000  50.00000   -535.92314875   -535.48098900
   1.30000   1.35000  50.00000   -535.92477559   -535.51062711
   1.35000   1.35000  50.00000   -535.92011032   -535.47839421
   1.40000   1.35000  50.00000   -535.91811055   -535.50502108
   1.45000   1.35000  50.00000   -535.91232968   -535.49980836
   1.50000   1.35000  50.00000   -535.90529313   -535.49379431
   1.60000   1.35000  50.00000   -535.88974831   -535.47879807
   1.70000   1.35000  50.00000   -535.87302032   -535.46171437
   1.80000   1.35000  50.00000   -535.85661836   -535.44649800
   0.85000   1.40000  50.00000   -535.64445137   -535.22704339
   0.90000   1.40000  50.00000   -535.72808228   -535.31092252
   0.95000   1.40000  50.00000   -535.78754392   -535.34268495
   1.00000   1.40000  50.00000   -535.83458036   -535.41835323
   1.05000   1.40000  50.00000   -535.86639358   -535.45066309
   1.10000   1.40000  50.00000   -535.88633720   -535.44138253
   1.15000   1.40000  50.00000   -535.90240793   -535.48762885
   1.20000   1.40000  50.00000   -535.91071282   -535.49638307
   1.25000   1.40000  50.00000   -535.91449532   -535.50062079
   1.27413   1.40000  50.00000   -535.91280678   -535.46786474
   1.30000   1.40000  50.00000   -535.91480063   -535.50140882
   1.35000   1.40000  50.00000   -535.91246022   -535.49958301
   1.40000   1.40000  50.00000   -535.90813629   -535.49580257
   1.45000   1.40000  50.00000   -535.90235581   -535.49058920
   1.50000   1.40000  50.00000   -535.89553652   -535.48435668
   1.60000   1.40000  50.00000   -535.87982825   -535.47034648
   1.70000   1.40000  50.00000   -535.86329706   -535.45440619
   1.80000   1.40000  50.00000   -535.84671832   -535.43777917
   0.85000   1.45000  50.00000   -535.63480136   -535.21828120
   0.90000   1.45000  50.00000   -535.71847117   -535.30212898
   0.95000   1.45000  50.00000   -535.78013665   -535.36429492
   1.00000   1.45000  50.00000   -535.82493464   -535.40959104
   1.05000   1.45000  50.00000   -535.85674801   -535.44190091
   1.10000   1.45000  50.00000   -535.87858212   -535.46422126
   1.15000   1.45000  50.00000   -535.89276222   -535.47886666
   1.20000   1.45000  50.00000   -535.90106823   -535.48762089
   1.25000   1.45000  50.00000   -535.90484952   -535.49185860
   1.27413   1.45000  50.00000   -535.90273221   -535.45487881
   1.30000   1.45000  50.00000   -535.90515502   -535.49264663
   1.35000   1.45000  50.00000   -535.90281494   -535.49082082
   1.40000   1.45000  50.00000   -535.89849144   -535.48704038
   1.45000   1.45000  50.00000   -535.89271143   -535.48182701
   1.50000   1.45000  50.00000   -535.88589260   -535.47559401
   1.60000   1.45000  50.00000   -535.87019905   -535.46173519
   1.70000   1.45000  50.00000   -535.85371232   -535.44614058
   1.80000   1.45000  50.00000   -535.83714272   -535.42949755
   0.85000   1.50000  50.00000   -535.62559698   -535.21016768
   0.90000   1.50000  50.00000   -535.70927160   -535.29401546
   0.95000   1.50000  50.00000   -535.77093737   -535.35618140
   1.00000   1.50000  50.00000   -535.81270763   -535.36188323
   1.05000   1.50000  50.00000   -535.84754909   -535.43378739
   1.10000   1.50000  50.00000   -535.86938315   -535.45610775
   1.15000   1.50000  50.00000   -535.88356311   -535.47075314
   1.20000   1.50000  50.00000   -535.89186774   -535.47950737
   1.25000   1.50000  50.00000   -535.89564910   -535.48374508
   1.27413   1.50000  50.00000   -535.89652917   -535.48917114
   1.30000   1.50000  50.00000   -535.89595480   -535.48453312
   1.35000   1.50000  50.00000   -535.89361506   -535.48270730
   1.40000   1.50000  50.00000   -535.88929198   -535.47892686
   1.45000   1.50000  50.00000   -535.88351243   -535.47371349
   1.50000   1.50000  50.00000   -535.87669407   -535.46748049
   1.60000   1.50000  50.00000   -535.86119084   -535.45319699
   1.70000   1.50000  50.00000   -535.84456004   -535.43840363
   1.80000   1.50000  50.00000   -535.82799974   -535.42174300
HCL-CI-dipole
      RHCL       UX    UY      UZ             ENERGY  
    0.85000     0.0   0.0   -0.29998559  -460.0727587 
    0.90000     0.0   0.0   -0.31240799  -460.1563678 
    0.95000     0.0   0.0   -0.32592469  -460.2180660 
    1.00000     0.0   0.0   -0.34049667  -460.2628886 
    1.05000     0.0   0.0   -0.35601186  -460.2947166 
    1.10000     0.0   0.0   -0.37230131  -460.3165558 
    1.15000     0.0   0.0   -0.38920632  -460.3307379 
    1.20000     0.0   0.0   -0.40645081  -460.3390441 
    1.25000     0.0   0.0   -0.42373476  -460.3428460 
    1.27413     0.0   0.0   -0.43203844  -460.3433846 
    1.30000     0.0   0.0   -0.44087383  -460.3431795 
    1.35000     0.0   0.0   -0.45769729  -460.3408497 
    1.40000     0.0   0.0   -0.47378445  -460.3365786 
    1.45000     0.0   0.0   -0.48908038  -460.3308277 
    1.50000     0.0   0.0   -0.50326909  -460.3240345 
    1.60000     0.0   0.0   -0.52731193  -460.3085664 
    1.70000     0.0   0.0   -0.54378078  -460.2920532 
    1.80000     0.0   0.0   -0.55069854  -460.2756424 
HO-CI-dipole
      RHO        UX    UY      UZ             ENERGY   
    0.65000     0.0   0.0   -0.56795497   -75.35954655 
    0.70000     0.0   0.0   -0.58170575   -75.51040554 
    0.75000     0.0   0.0   -0.59508262   -75.56732147 
    0.80000     0.0   0.0   -0.60793273   -75.60436196 
    0.85000     0.0   0.0   -0.62001012   -75.62714437 
    0.90000     0.0   0.0   -0.63108237   -75.63968563 
    0.93000     0.0   0.0   -0.63710861   -75.64353857 
    0.96000     0.0   0.0   -0.64258788   -75.64524540 
    0.97131     0.0   0.0   -0.64449723   -75.64541583 
    1.00000     0.0   0.0   -0.64892295   -75.64485927 
    1.05000     0.0   0.0   -0.65503496   -75.64113405 
    1.10000     0.0   0.0   -0.65878681   -75.63484493 
    1.15000     0.0   0.0   -0.65980958   -75.62683145 
    1.20000     0.0   0.0   -0.65759048   -75.61772242 
    1.25000     0.0   0.0   -0.65152781   -75.60798992 
    1.30000     0.0   0.0   -0.64098716   -75.59799179 
    1.35000     0.0   0.0   -0.62572365   -75.58798975 
    1.40000     0.0   0.0   -0.60629609   -75.57817891 
    1.45000     0.0   0.0   -0.58339655   -75.56869447 
    1.50000     0.0   0.0   -0.55745569   -75.55963122 
weights7
17	2	1
50	80	
1	5061
  0.1067562850000000	  0.3584514100000000	  0.2995175250000000	  0.2568390200000000	  0.0795311450000000	  0.1104549900000000	  0.0412553110000000	  0.1001943800000000	  0.0447088400000000	  0.0963427050000000	  0.0380176695000000	  0.1950274550000000	  0.1168573000000000	  0.0227938090000000	  0.1960274905000000	  0.0900038150000000	  0.1319325650000000	  2.5885233649999999
  0.1067562850000000	  0.5815815700000000	  0.2995175250000000	  0.2568390200000000	  0.0795311450000000	  0.1104549900000000	  0.0412553110000000	  0.1001943800000000	  0.0447088400000000	  0.0963427050000000	  0.0380176695000000	  0.1950274550000000	  0.1168573000000000	  0.0227938090000000	  0.2458145595000000	  0.0900038150000000	  0.1319325650000000	  2.4110914349999999
                 -0.54839787516564564296
                  0.12328853873602953206
                  0.54887635268439805003
                  0.55137627195191318830
                 -0.21116236498751403405
                  0.15055642743456232324
                 -0.14252589531403991874
                  0.27608439126777095662
                  1.37777229983682714121
                 -0.04172786899024796131
                  0.18829358832431999926
                 -0.52943461763761079375
                 -0.75425776044635894912
                 -0.46527490006243610310
                 -0.03634693429172042994
                  0.11763055257912292950
                  0.58331322131904461692
                  0.43255969514833803036
                 -0.31148361513244066101
                  0.59809772388497661755
                 -0.11608581120167457690
                  0.86763107683485696242
                  0.09283216747049932716
                 -0.51596893565408152860
                  0.70699609268788488059
                  0.02691631985980206046
                 -0.22534163864055870019
                 -0.50555894802628797979
                  0.65240829074244721664
                 -0.18232244324978705285
                  0.40843793907818543021
                 -0.59130038316506339235
                  0.49163412120825117357
                 -0.52626174048152718488
                  0.22809712102627785479
                 -0.47642898833466823527
                 -0.21114954305957975289
                  0.39147440306612035776
                  0.49583690603117380746
                  0.45109998436422871215
                  0.11050612940297814546
                 -0.06880657340421308943
                  0.26981717619951745002
                  0.58080730956204218440
                  0.37121455915399942382
                 -0.67370321062452021010
                 -0.65358599737424083465
                 -0.01491941621297336595
                 -0.24776298441849739507
                  0.36107588653432098891
                  0.64860944069210191287
                  0.38749481608085828421
                 -0.44888182568000961625
                  0.39078416173195096306
                 -0.47418419912010667527
                 -0.08816416606700135106
                  0.47949278466737393911
                  0.47844522888674767547
                  0.03954269798976001171
                  0.21314058284981796110
                 -0.64473662524998975876
                  0.68206487223361933481
                  0.64562686218608644761
                 -0.29749288797321943312
                 -0.07852317372658440542
                  0.14950769996878859880
                  0.29068143446435090738
                 -0.15992797343930245657
                  0.51721568007012519441
                 -0.91756368179993608170
                  0.02365211355335733803
                 -0.30767489155543881196
                 -0.77179619698495105506
                 -1.23159728975573012910
                 -0.39402251517651232238
                  0.20757398753626496446
                  0.91915900799574001834
                 -0.53795700718151728825
                 -0.57135557783275214838
                 -0.09354036598412071579
                  0.36613161852986819689
                  0.16366194080204948813
                  0.68416411469844096160
                  0.76754695134916661736
                 -0.20701197717469457804
                  1.21824776920714050732
                  0.13706291803027476073
                 -0.50511213699616896999
                 -0.52608081876444212632
                  0.13449483544190130035
                  0.94526985903310656312
                  0.70977618787579244142
                  0.86747063324898965320
                 -1.48734571753758881840
                 -1.32665356937980782881
                 -0.39696140752847369759
                  0.29544754157606023526
                 -0.33296293554759009981
                 -0.07352239837120483346
                 -0.77129107596821522286
                  0.43312333050489221220
                  0.59415238427252003994
                  0.35788453168199474419
                 -0.46834797526999538686
                  0.02476586195434059973
                 -0.36093024642638060762
                 -0.17915776538088856729
                 -0.73874028111653378126
                 -0.62899029498291769702
                  0.72761313534784355372
                  0.89573288561768038551
                 -0.98082213863069245274
                  0.00862496118080255739
                 -0.71815553273190491090
                 -0.51241542088709879366
                  0.96068696299614275702
                  0.23706547571446007217
                 -0.78385870913075406108
                 -0.44450931586659625516
                 -0.56859090546052482029
                  0.10512146565482904936
                  0.61360154601531591290
                 -0.14327312824733126617
                 -0.51454241746114737222
                 -0.26320006321598149457
                  0.28848161461768750957
                  0.65201738312537815823
                  2.63230539283930919936
                  1.41301196099181836097
                  0.29270245421272744757
                 -0.12860523954346592124
                 -0.09408211717839334853
                  0.55111994320664547953
                 -0.86807295413528440253
                 -1.95175460416504131800
                 -0.09137689714775555638
                  0.43065115968933315171
                  0.67112945353623387756
                  0.30192324445446533376
                  0.07901886592139574506
                  0.42812064193384719024
                 -0.43787372135526436701
                  0.62663272401745484519
                 -0.22072637441473302866
                  0.63393313298170461678
                 -0.33413379438554230427
                 -0.38017005668507519722
                  0.56413333343673310871
                 -0.51807758985070662128
                  0.48271709838546911220
                  0.26690068624861773561
                  0.54591895218383590382
                  0.17583859649195140995
                 -0.06279994841915216564
                 -0.76359545785199711698
                  0.01882776780315346954
                 -0.07539324579053299780
                 -0.26925752141384579064
                 -0.21990210495033302163
                  0.68263570934816886204
                  0.48338765661832644449
                  1.29341407967222332687
                 -0.39749079546159338250
                 -0.09842531629304819563
                 -0.41639204949415603574
                 -0.65998017780814755007
                  0.09657340872580714997
                  0.83331665596516879546
                 -0.24233857829665150785
                  0.30162830819038466412
                  0.47309829745070608453
                  0.27761031507155847775
                 -0.60605805442197502320
                  0.30463966194337072091
                 -0.11887344021411130890
                  1.19942650228462621698
                  0.42050033867001579413
                  0.99914506966425253864
                 -0.50432558272491745388
                 -0.51306608999923886127
                 -0.47651035994348034386
                 -0.04830483884558779695
                 -0.10940163402252707503
                 -0.00513459915850198508
                 -0.06138904524860291229
                  0.27075598272058726268
                 -0.53054625542267475069
                 -0.58084616516580578338
                 -0.00228675676835877941
                  0.46366480194633585832
                 -0.54169677814959804607
                 -0.43996997205662652375
                 -0.40184117683677406108
                  0.07058529809063465721
                  0.17339873395501428921
                  0.92476748727352098278
                 -0.73460266100681859136
                  0.35406463849098523955
                  0.30163799261718599043
                  0.49015584115381172214
                  0.24752741270603714763
                  0.74232274946287279960
                 -0.05096344059313883540
                  0.75123277183561643078
                 -0.57940287032538395628
                 -0.54338195689782775588
                 -0.40170800585485189060
                  0.22605254561377721712
                  0.61084012685598776393
                  0.06004838400833815981
                 -0.29934966350939418156
                 -0.15554860012456397933
